A1,A19,A6,A14,A11,A18,A12,A8,A4,A3,A7,A15,A9,A10,A17,A13,A2,A16,A5,A20,A21
1,0,0,2,2,1,2,4,3,2,2,1,0,0,1,31,10,1,1521,0,1
1,1,0,2,4,1,3,2,7,4,1,2,1,0,2,24,24,2,5743,0,1
0,0,0,2,4,1,2,1,3,2,3,0,1,0,1,26,21,1,3599,0,1
1,0,2,2,3,1,0,1,4,2,1,0,3,0,2,25,18,1,3213,0,1
1,1,0,0,1,1,0,1,9,2,4,1,2,1,3,33,18,1,4439,0,1
2,0,0,2,1,2,1,1,0,2,1,1,2,2,1,37,10,1,3949,0,1
3,0,0,2,2,1,2,4,4,4,2,1,1,0,1,43,15,1,1459,0,1
1,0,0,2,4,1,0,4,4,4,1,1,2,2,2,23,13,2,882,0,1
1,0,2,2,4,1,3,1,4,2,0,0,1,0,0,23,24,1,3758,0,1
3,0,1,2,2,1,0,1,9,3,2,1,2,0,1,34,6,2,1743,0,1
1,0,3,2,3,2,3,4,7,4,4,2,2,0,2,32,9,2,1136,0,2
3,1,0,2,4,1,0,1,5,2,1,0,1,0,2,23,9,1,1236,0,1
1,0,0,2,2,1,2,1,3,2,2,1,1,0,2,29,9,1,959,1,2
3,1,4,2,4,1,3,2,1,4,0,1,2,0,3,38,18,1,3229,0,1
0,1,0,2,2,1,1,4,4,0,2,0,2,0,2,28,12,2,6199,0,2
3,1,2,2,4,1,3,4,7,2,4,2,2,0,2,46,10,1,727,0,1
1,0,0,1,2,1,0,4,0,2,1,1,2,0,1,23,24,1,1246,0,2
3,1,4,2,4,1,0,1,4,4,4,1,2,1,2,49,12,1,2331,0,1
3,1,0,2,2,1,2,4,4,3,2,1,2,0,3,26,36,2,4463,0,2
3,0,0,2,2,1,0,4,4,2,2,1,3,0,2,28,12,1,776,0,1
0,0,0,2,4,1,0,4,3,2,3,0,1,0,2,23,30,1,2406,0,2
1,0,4,2,4,1,3,4,7,2,2,2,2,0,2,61,18,1,1239,0,1
2,0,4,2,3,1,2,2,4,2,4,1,2,0,3,37,12,1,3399,0,1
2,1,0,1,2,1,2,2,0,3,2,1,1,0,2,36,12,2,2247,0,1
3,0,0,2,2,1,1,1,3,2,2,0,3,0,2,21,6,1,1766,0,1
0,0,0,2,1,1,2,4,3,2,0,1,2,0,0,25,18,1,2473,0,2
3,1,0,2,4,1,2,2,9,2,3,1,2,0,2,36,12,1,1542,0,1
3,0,0,2,1,1,2,3,1,4,3,1,2,0,2,27,18,2,3850,0,1
0,0,0,2,4,1,2,1,3,2,1,0,1,0,2,22,18,1,3650,0,1
0,0,0,2,2,2,2,4,3,2,4,1,2,0,2,42,36,1,3446,0,2
1,0,0,2,4,1,0,2,3,2,3,0,1,0,2,40,18,1,3001,0,1
3,0,4,2,4,1,0,4,0,2,2,1,2,0,2,36,36,1,3079,0,1
3,1,0,2,4,1,2,3,4,4,4,1,2,0,2,33,18,2,6070,0,1
3,0,0,2,3,1,0,1,3,4,1,0,1,0,2,23,10,2,2146,0,1
0,0,0,2,4,1,2,2,9,1,3,0,1,2,2,37,48,1,7685,0,2
3,0,0,2,3,1,0,2,4,3,0,1,3,0,2,34,18,2,2320,0,1
3,0,4,2,4,1,3,3,4,3,4,2,2,0,2,36,7,1,846,0,1
3,0,1,2,4,1,2,4,0,4,2,1,1,0,1,52,6,2,362,0,1
0,1,4,2,4,1,2,4,3,2,3,1,2,0,2,39,20,1,2212,0,1
3,0,4,2,4,1,1,4,0,2,3,0,1,0,2,25,22,1,1283,0,1
2,0,0,2,1,1,0,4,0,2,1,1,2,0,2,26,12,1,1330,0,1
3,0,1,2,2,1,1,2,9,3,2,1,2,0,1,26,30,2,4272,0,1
3,0,0,2,1,1,2,2,4,4,2,1,1,0,2,25,18,2,2238,0,1
3,1,4,2,2,1,0,4,4,2,1,0,1,0,2,21,18,1,1126,0,1
1,1,0,1,4,1,1,4,3,4,0,1,2,0,3,40,18,2,7374,0,1
1,0,2,0,4,1,2,2,9,4,2,1,2,0,2,27,15,1,2326,0,1
3,0,0,2,2,1,2,3,9,2,3,1,1,0,2,27,9,2,1449,0,1
3,1,0,2,2,1,1,2,0,2,2,1,3,0,3,30,18,1,1820,0,1
1,0,3,2,4,1,0,1,3,2,1,0,1,0,1,19,12,1,983,0,1
0,1,0,0,4,2,3,2,0,2,3,2,2,0,3,39,36,1,3249,0,1
0,0,0,2,4,1,2,1,4,4,3,1,1,0,2,31,6,1,1957,0,1
3,0,0,2,3,1,2,2,3,4,0,1,2,0,3,31,9,1,2406,0,1
0,0,0,2,4,1,3,3,3,2,0,2,1,0,3,55,12,1,2578,0,1
0,1,0,2,2,1,1,3,3,4,2,1,3,0,2,46,36,2,2348,0,1
1,0,0,2,1,1,0,1,0,2,4,0,0,0,2,46,12,2,1223,0,2
3,0,3,2,1,1,0,4,4,4,2,1,1,0,1,43,24,2,1516,0,1
3,1,0,2,4,1,0,3,4,2,1,1,3,0,2,39,18,1,1473,0,1
1,0,4,0,4,1,0,4,9,4,2,1,3,0,2,28,18,2,1887,0,1
3,1,0,0,2,1,2,2,9,3,1,1,2,0,2,27,24,2,8648,0,2
3,0,0,2,2,1,2,4,0,3,2,1,2,0,1,27,14,2,802,0,1
1,0,4,2,4,2,2,4,0,3,4,1,2,0,2,43,18,1,2899,0,1
1,1,0,2,1,1,1,1,4,2,1,1,3,0,2,22,24,1,2039,0,2
3,1,4,2,4,2,2,4,1,4,3,1,2,0,2,43,24,2,2197,0,1
0,0,0,2,2,1,0,4,4,2,1,1,3,0,2,27,15,1,1053,1,1
3,1,2,2,2,1,2,3,4,2,4,1,0,0,3,26,24,1,3235,0,1
2,1,2,2,2,1,0,4,0,4,3,1,3,0,2,28,12,3,939,0,2
1,1,0,2,4,1,2,4,4,2,4,1,1,0,2,20,24,1,1967,0,1
3,1,0,2,2,1,2,3,1,4,3,1,2,0,3,35,33,2,7253,0,1
3,1,0,1,2,1,2,4,9,4,0,1,2,0,3,42,12,2,2292,0,2
3,0,2,2,2,2,3,3,0,2,2,0,2,0,1,40,10,1,1597,1,1
0,0,4,2,2,1,1,4,0,2,2,1,1,0,2,35,24,1,1381,0,2
3,1,0,2,2,2,1,2,1,4,4,1,2,0,2,35,36,2,5842,0,1
0,0,0,2,1,2,0,4,0,2,1,1,2,0,1,33,12,1,2579,0,2
0,1,4,2,2,1,2,1,7,3,2,0,1,0,2,23,18,2,8471,0,1
3,0,2,0,2,1,2,1,0,2,3,1,1,0,3,31,21,1,2782,0,1
1,0,4,2,2,1,1,4,0,2,2,1,1,0,2,33,18,1,1042,0,2
3,0,3,2,3,1,2,2,0,2,3,0,1,0,2,20,15,1,3186,0,1
1,0,4,2,2,1,2,4,1,2,2,1,2,0,2,30,12,1,2028,0,1
1,0,0,2,3,2,0,2,0,4,3,1,2,0,1,47,12,2,958,0,1
3,0,1,2,3,1,0,4,3,3,3,1,2,0,3,34,21,2,1591,0,1
1,1,4,0,2,1,1,1,3,2,4,1,1,0,2,25,12,1,2762,0,2
1,1,0,2,3,1,2,1,1,2,2,0,3,0,2,21,18,1,2779,0,1
3,0,0,2,2,1,2,4,4,4,4,1,2,0,2,29,28,2,2743,0,1
3,0,3,2,3,1,0,4,4,4,2,1,2,0,2,46,18,2,1149,0,1
3,0,0,2,4,1,2,1,3,2,4,1,2,0,2,20,9,1,1313,0,1
0,0,0,2,4,2,3,2,6,4,0,2,1,0,0,55,18,3,1190,0,2
0,1,0,2,4,1,3,4,3,4,0,2,2,0,3,36,6,3,1872,0,1
3,1,0,2,2,1,0,4,6,4,2,1,0,0,2,33,24,2,2058,0,1
0,0,0,2,2,1,0,3,3,2,2,1,2,0,2,25,9,1,2136,0,1
1,1,4,2,1,1,0,2,4,2,2,1,3,0,2,25,12,1,1484,0,2
3,0,2,2,4,1,0,2,6,2,3,0,3,0,1,23,6,1,660,0,1
3,1,3,2,4,1,0,4,0,4,4,1,1,0,2,37,24,2,1287,0,1
0,0,0,2,4,1,2,4,6,4,0,1,2,1,0,65,42,2,3394,0,1
2,0,0,2,1,1,0,4,9,1,1,1,1,0,0,26,12,1,609,0,2
3,1,0,2,4,1,2,4,0,2,4,1,2,0,3,39,12,1,1884,0,1
0,0,0,2,3,1,1,2,3,2,2,1,1,1,2,30,12,1,1620,0,1
1,1,0,0,3,1,2,2,2,3,2,1,2,0,2,29,20,2,2629,0,1
3,0,0,0,4,2,2,4,7,2,4,1,2,0,1,41,12,1,719,0,2
1,1,0,2,3,1,2,2,3,4,2,1,1,0,3,30,48,1,5096,0,2
3,0,4,2,4,1,1,4,7,4,4,0,1,0,1,41,9,2,1244,0,1
0,1,0,2,4,1,2,4,0,2,1,1,1,0,2,34,36,1,1842,0,2
1,0,0,2,2,1,0,2,4,2,2,1,2,2,2,35,7,1,2576,0,1
2,1,4,2,4,1,0,3,3,2,4,1,1,0,3,55,12,1,1424,0,1
1,0,3,1,3,1,1,3,6,3,2,1,3,0,2,61,15,2,1512,0,2
3,1,4,2,2,1,2,4,1,4,2,1,2,0,3,30,36,1,11054,0,1
3,0,0,2,1,1,0,3,4,2,2,1,1,0,2,29,6,1,518,0,1
3,0,0,2,4,1,1,2,3,0,4,1,2,0,2,34,12,2,2759,0,1
3,1,0,2,4,1,2,4,1,2,4,1,2,0,3,35,24,1,2670,0,1
0,1,0,2,3,1,1,2,0,2,3,1,2,1,2,31,24,1,4817,0,2
3,1,0,2,1,1,3,4,1,2,1,1,1,0,3,29,24,1,2679,0,1
0,0,0,2,2,2,0,2,0,4,2,0,2,0,2,36,11,2,3905,0,1
0,1,0,2,4,1,3,3,1,2,4,2,2,0,2,35,12,1,3386,0,2
0,0,0,2,1,1,0,4,5,2,1,1,1,0,2,27,6,1,343,0,1
3,1,0,2,2,1,2,3,4,2,1,1,2,0,2,32,18,1,4594,0,1
0,0,0,2,2,2,1,1,3,2,2,1,2,2,2,37,36,1,3620,0,1
0,0,0,2,3,1,0,2,0,2,1,1,2,0,2,36,15,1,1721,0,1
1,0,0,2,1,1,0,3,3,2,1,0,1,0,3,34,12,1,3017,0,1
1,0,4,2,4,1,1,4,8,2,4,1,2,0,2,38,12,2,754,0,1
3,1,0,1,1,1,2,4,9,2,3,1,2,0,2,34,18,2,1950,0,1
0,1,0,0,4,2,3,3,1,2,2,1,2,2,2,63,24,1,2924,0,1
0,1,0,2,2,1,2,4,4,3,1,0,1,0,1,29,24,1,1659,0,2
3,0,4,0,3,2,2,3,4,3,4,1,2,0,2,32,48,2,7238,0,1
3,1,0,2,2,1,2,2,9,3,2,1,1,0,2,26,33,2,2764,0,1
3,1,0,2,3,1,2,3,1,3,3,1,2,0,1,35,24,2,4679,0,1
1,1,1,2,2,1,2,3,4,2,1,0,3,0,2,22,24,1,3092,0,2
0,0,0,2,4,1,1,4,7,2,1,1,1,0,2,23,6,1,448,0,2
0,0,0,2,3,1,2,4,0,2,2,1,2,0,1,28,9,1,654,0,2
3,1,4,2,4,2,1,4,8,2,0,1,2,0,3,36,6,1,1238,0,1
1,0,0,2,2,1,2,4,4,4,2,1,3,0,2,33,18,1,1245,0,2
0,0,0,2,4,1,1,1,3,0,1,0,1,0,2,26,18,1,3114,0,2
3,0,2,2,4,1,2,4,1,2,2,1,2,0,2,24,39,1,2569,0,1
2,0,0,0,2,1,2,4,4,2,3,1,2,0,2,25,24,1,5152,0,1
1,0,1,2,4,1,0,3,9,2,3,1,2,0,1,39,12,1,1037,0,1
0,1,0,2,4,2,2,4,3,4,4,1,2,0,2,44,15,2,1478,0,1
1,0,0,2,1,1,0,1,4,4,2,1,1,0,1,23,12,1,3573,0,1
1,0,0,2,1,1,1,4,0,2,1,1,2,0,2,26,24,1,1201,0,1
0,1,3,2,4,1,1,4,3,2,4,0,1,0,2,57,30,2,3622,0,1
3,0,3,2,2,1,1,3,3,3,3,1,1,0,2,30,15,2,960,0,1
3,1,2,2,4,1,0,4,0,4,2,1,2,0,2,44,12,1,1163,0,1
1,1,0,2,4,1,1,4,0,3,0,1,2,0,3,47,6,1,1209,0,2
3,1,0,2,4,1,2,2,4,2,2,1,2,0,2,52,12,1,3077,0,1
3,1,0,2,4,1,3,4,0,2,4,2,1,1,2,62,24,1,3757,0,1
3,0,1,2,2,1,0,3,0,2,2,0,2,0,1,35,10,1,1418,1,1
3,0,0,2,3,1,1,2,0,2,2,0,2,2,2,26,6,1,3518,0,1
3,0,0,2,2,1,3,2,4,4,4,1,2,0,2,26,12,2,1934,0,1
1,1,0,2,4,1,3,2,9,0,4,2,1,0,3,42,27,2,8318,0,2
3,0,1,2,1,1,1,1,4,4,2,1,1,0,2,27,6,2,1237,0,1
1,0,4,2,4,1,1,4,4,2,4,1,2,0,2,38,6,1,368,0,1
0,0,0,2,2,2,0,3,0,4,2,0,2,0,1,39,12,2,2122,1,1
0,0,4,2,4,1,2,2,3,2,2,1,3,0,2,20,24,1,2996,0,2
1,1,1,2,1,1,3,4,3,2,1,0,2,1,3,29,36,1,9034,0,2
3,0,0,2,3,1,1,4,3,4,3,1,2,0,2,40,24,2,1585,0,1
1,0,0,2,2,1,0,4,4,2,4,1,3,2,1,32,18,1,1301,0,1
2,1,1,2,4,2,2,2,0,4,4,1,0,0,2,28,6,2,1323,0,1
0,0,0,2,1,1,1,4,0,2,1,1,1,0,2,27,24,1,3123,0,2
0,0,0,2,4,2,3,2,1,2,4,2,2,0,2,42,36,1,5493,0,1
2,0,1,2,4,1,0,2,4,2,4,1,0,0,2,49,9,1,1126,0,1
1,0,1,0,4,2,3,4,4,4,1,1,2,0,2,38,24,2,1216,0,2
0,0,0,2,4,1,1,4,0,2,1,0,1,0,2,24,24,1,1207,0,2
3,0,4,2,4,1,1,4,0,2,2,1,2,2,1,27,10,1,1309,0,2
2,1,2,2,2,1,2,2,1,4,2,1,2,0,2,36,15,1,2360,0,1
1,1,1,2,2,2,1,1,0,1,0,1,2,0,3,34,15,1,6850,0,2
3,0,0,2,2,1,1,4,4,2,2,1,3,0,2,28,24,1,1413,0,1
3,1,1,2,2,1,2,4,1,2,4,1,2,0,3,45,39,1,8588,0,1
0,0,0,2,2,1,0,4,0,2,3,1,2,0,2,26,12,1,759,0,2
3,1,0,2,2,1,3,2,1,2,2,2,2,0,3,32,36,1,4686,0,1
2,1,0,2,4,1,1,2,9,2,3,0,2,0,2,26,15,1,2687,0,1
1,0,0,2,4,1,0,4,4,3,2,0,3,1,2,20,12,2,585,0,1
3,0,4,2,1,1,1,4,0,2,1,1,2,0,2,54,24,1,2255,0,1
0,0,0,2,3,1,1,4,0,4,3,1,1,0,2,37,6,2,609,1,1
0,0,0,2,4,2,0,2,0,4,1,1,2,0,1,40,6,1,1361,1,1
3,1,0,2,4,1,1,2,3,4,1,0,1,0,2,23,36,2,7127,0,2
0,1,1,2,2,1,1,3,0,2,4,1,2,0,2,43,6,1,1203,0,1
3,0,4,2,4,1,3,4,4,4,4,2,2,0,2,36,6,2,700,0,1
3,0,0,2,4,1,3,3,6,4,4,2,2,0,2,44,24,2,5507,0,1
0,0,0,2,2,1,0,2,4,2,2,1,1,0,2,24,18,1,3190,0,2
0,0,0,2,4,2,3,3,3,0,2,2,2,0,2,53,48,2,7119,0,2
3,0,1,2,4,1,2,3,1,2,3,1,1,0,2,23,24,1,3488,0,1
1,0,0,2,4,2,0,4,4,2,2,1,1,2,1,26,18,1,1113,0,1
1,0,0,2,3,1,2,2,1,2,1,1,2,0,2,30,26,2,7966,0,1
3,0,1,2,3,1,2,4,7,4,2,1,1,0,2,31,15,1,1532,0,1
3,0,0,2,1,2,0,2,4,4,3,1,2,0,1,42,4,2,1503,0,1
0,0,0,2,4,1,2,4,4,2,2,0,0,0,2,31,36,1,2302,0,2
0,1,0,2,4,2,0,3,0,2,1,1,2,0,1,41,6,1,662,0,1
1,0,0,2,1,2,2,3,7,2,3,1,2,0,2,32,36,2,2273,0,1
1,1,1,2,4,1,2,2,0,2,2,0,1,0,2,28,15,2,2631,0,2
3,0,0,2,4,1,0,4,1,3,2,0,3,0,2,41,12,1,1503,0,1
3,1,1,2,3,1,1,4,4,2,3,1,3,0,2,26,24,1,1311,0,1
3,0,4,2,2,1,2,4,4,2,1,1,2,0,2,25,24,2,3105,0,1
2,0,0,2,1,1,2,2,7,4,1,0,0,0,2,33,21,1,2319,0,2
1,1,0,2,4,1,1,3,3,4,4,1,1,0,2,37,18,1,3612,0,1
0,0,0,0,4,1,3,4,0,2,4,2,2,0,3,42,48,1,7763,0,2
2,0,0,1,1,1,1,1,3,2,1,1,1,0,1,45,18,1,3049,0,1
1,0,0,2,1,1,0,1,4,2,1,0,3,0,2,23,12,1,1534,0,2
3,1,0,2,4,1,3,4,0,3,4,2,2,0,2,60,24,2,2032,0,1
0,0,4,2,4,1,1,4,3,2,4,1,2,0,2,31,30,1,6350,0,2
2,0,0,2,1,2,0,2,3,2,2,1,2,0,1,34,18,1,2864,0,2
3,0,0,2,4,1,0,4,0,4,4,1,2,0,1,61,12,2,1255,0,1
0,0,0,2,2,2,0,4,0,3,0,2,2,0,2,43,24,2,1333,0,2
3,1,0,2,4,1,2,4,0,4,2,1,1,0,2,37,24,1,2022,0,1
3,0,0,0,1,2,2,3,4,2,3,1,2,0,2,32,24,1,1552,0,1
0,0,0,0,4,1,0,4,4,1,2,1,1,0,1,24,12,1,626,0,2
3,1,4,2,1,1,3,2,1,4,3,2,2,0,2,35,48,2,8858,0,1
3,0,4,2,4,1,0,4,6,4,3,1,1,0,2,23,12,2,996,0,1
3,0,2,0,4,2,1,2,4,1,4,1,2,0,1,45,6,1,1750,0,1
0,1,0,2,1,1,0,1,4,2,3,1,3,2,2,34,48,2,6999,0,2
1,0,1,2,1,1,2,4,0,4,1,1,2,0,2,27,12,1,1995,0,1
1,1,0,2,4,1,1,4,7,2,3,1,1,0,3,67,9,2,1199,0,1
1,0,0,1,1,1,2,2,4,2,1,1,2,0,2,22,12,1,1331,0,2
1,0,1,2,3,1,2,3,0,0,1,1,1,0,2,28,18,2,2278,0,2
3,1,4,0,4,1,1,1,0,0,2,1,1,0,2,29,21,2,5003,0,2
0,0,0,0,4,1,2,3,3,1,3,1,2,0,2,27,24,1,3552,0,2
1,0,0,2,2,1,0,2,3,4,1,1,2,0,1,31,18,2,1928,0,2
0,1,4,0,4,2,3,4,1,2,4,2,2,0,2,49,24,1,2964,0,1
0,0,0,0,4,1,2,4,4,1,3,0,2,2,1,24,24,1,1546,0,2
2,0,0,0,1,1,1,2,4,3,1,1,1,0,2,29,6,1,683,0,1
1,1,4,0,2,1,1,4,9,3,2,1,2,0,3,37,24,2,4712,0,1
1,1,1,2,2,1,1,3,4,3,3,0,1,0,2,23,24,2,1553,0,1
0,0,0,2,3,1,2,2,0,2,3,1,0,0,2,36,12,1,1372,0,2
3,0,3,2,2,1,2,2,4,4,4,1,2,0,2,34,24,1,2578,0,1
1,1,4,2,1,2,2,4,4,2,3,1,2,0,2,41,48,2,3979,0,1
0,1,0,2,2,1,2,3,4,2,2,1,1,0,2,31,48,1,6758,0,2
0,1,0,2,4,1,0,4,3,2,1,0,1,0,1,23,24,1,3234,0,2
3,0,0,2,2,1,2,3,4,4,3,1,2,1,2,38,30,1,5954,0,1
3,1,4,2,4,1,1,2,1,2,0,0,1,0,3,26,24,1,5433,0,1
0,0,0,2,4,1,1,4,9,2,2,1,1,0,1,22,15,1,806,0,1
1,0,0,2,4,1,2,4,4,2,4,1,2,0,1,27,9,2,1082,0,1
3,0,0,0,3,1,2,2,3,4,3,1,1,1,2,24,15,2,2788,0,1
1,0,0,2,1,1,0,2,4,2,3,1,1,0,2,27,12,1,2930,0,1
3,1,4,2,2,1,2,3,7,4,2,1,1,0,2,33,24,2,1927,0,1
1,0,0,2,4,1,2,4,0,4,1,1,0,0,2,27,36,2,2820,0,2
3,0,0,2,3,1,2,4,8,2,1,1,3,0,1,27,24,2,937,0,1
1,0,0,0,3,1,0,3,0,4,4,1,2,2,2,30,18,2,1056,0,2
1,0,0,0,3,2,0,1,0,4,1,1,2,0,1,49,12,2,3124,0,1
3,0,0,2,2,1,0,4,3,2,2,0,1,0,2,26,9,1,1388,0,1
1,0,0,2,1,1,3,4,6,2,1,0,2,0,1,33,36,1,2384,0,2
3,1,4,2,4,1,3,4,0,2,4,2,1,0,3,52,12,1,2133,0,1
0,0,0,0,4,1,0,1,3,2,2,0,1,0,2,20,18,1,2039,0,2
0,0,0,2,2,2,0,2,0,4,2,0,2,0,2,36,9,2,2799,0,1
0,0,0,2,1,1,1,4,3,2,2,1,2,2,1,21,12,1,1289,0,1
0,1,0,2,3,1,0,4,5,2,2,1,3,0,1,47,18,1,1217,0,2
0,0,0,2,3,1,1,3,3,4,4,1,2,0,2,60,12,2,2246,0,2
0,1,0,2,3,1,0,4,4,4,3,1,1,0,1,58,12,4,385,0,1
1,1,4,2,4,1,2,4,0,3,2,0,1,0,2,42,24,2,1965,0,1
3,0,3,0,4,1,0,4,9,2,4,1,1,0,1,36,21,1,1572,0,1
1,1,0,2,4,1,1,3,0,2,2,0,1,0,1,20,24,1,2718,0,2
0,1,4,1,3,1,2,4,2,1,4,1,2,0,3,40,24,1,1358,0,2
1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,32,6,1,931,0,2
0,0,0,2,4,1,2,4,0,2,3,0,1,0,2,23,24,2,1442,0,2
1,1,0,2,4,1,0,1,9,0,2,1,2,0,1,36,24,3,4241,0,2
3,0,0,0,2,1,1,2,0,4,3,1,2,0,2,31,18,2,2775,0,2
3,0,0,2,2,1,3,1,9,3,2,2,2,0,2,32,24,1,3863,0,1
1,0,0,2,1,1,0,1,4,2,1,1,1,2,2,45,7,1,2329,0,1
1,0,0,2,1,1,1,4,3,2,2,1,1,0,2,30,9,1,918,0,2
1,0,0,0,4,1,3,4,7,1,3,2,1,0,1,34,24,1,1837,0,2
3,1,0,2,2,1,2,4,3,2,2,1,1,0,3,28,36,1,3349,0,2
2,0,0,2,2,1,1,4,3,2,1,1,1,0,2,23,10,1,1275,0,1
0,1,2,1,4,1,0,4,3,1,2,1,2,0,2,22,24,1,2828,0,1
1,0,1,2,4,1,3,4,4,2,2,2,1,1,2,50,36,1,2671,0,2
3,0,0,2,1,1,0,4,4,2,1,1,2,0,2,33,18,1,2051,0,1
3,0,4,0,4,2,3,4,1,2,4,2,2,0,2,45,15,1,1300,0,1
0,0,1,2,3,1,1,4,5,2,0,1,1,0,2,22,12,1,741,0,2
2,0,1,2,4,2,3,1,0,2,4,2,1,0,1,48,10,1,1240,0,2
0,0,3,0,2,1,2,4,4,2,1,1,1,0,2,29,21,1,3357,0,1
0,0,0,0,4,1,2,1,1,1,2,0,1,2,2,22,24,1,3632,1,1
3,0,0,2,1,1,0,4,3,3,3,1,1,0,2,22,18,1,1808,0,2
0,0,0,2,3,2,0,1,0,4,2,0,2,0,2,37,6,3,3676,0,1
1,0,1,2,4,1,2,2,3,2,2,0,1,1,2,21,30,1,3441,0,2
3,0,0,2,2,1,0,4,0,2,2,1,0,0,1,49,12,1,640,0,1
1,0,0,2,3,1,1,2,9,4,3,1,2,0,2,27,21,2,3652,0,1
3,0,0,0,2,1,1,3,0,4,2,1,2,0,2,32,18,2,1530,0,2
3,0,4,0,2,1,0,4,9,2,2,1,0,0,2,38,48,1,3914,0,2
0,0,0,2,1,1,2,4,3,2,1,0,1,0,2,22,12,1,1858,0,1
0,0,0,2,4,1,3,4,4,2,2,2,2,0,2,65,18,2,2600,0,2
3,0,4,2,2,1,2,4,4,2,4,1,2,0,2,35,15,1,1979,0,1
2,1,0,2,2,1,0,2,3,2,2,1,2,0,2,41,6,1,2116,0,1
1,0,1,2,3,1,3,2,0,1,3,1,2,0,2,29,9,1,1437,0,2
3,1,2,2,4,1,0,4,3,4,2,1,2,0,2,36,42,2,4042,0,1
3,0,4,2,4,1,0,1,7,2,4,1,2,0,1,64,9,1,3832,0,1
0,0,0,2,4,1,2,2,4,2,2,1,1,0,2,28,24,1,3660,0,1
0,0,0,0,3,1,2,4,3,1,2,1,2,0,2,44,18,1,1553,0,2
1,0,4,2,1,1,1,4,4,2,1,1,2,0,2,23,15,1,1444,0,1
3,0,0,2,2,1,2,2,3,2,1,0,1,1,2,19,9,2,1980,0,2
1,1,0,2,4,1,2,3,0,2,1,1,1,0,1,25,24,1,1355,0,2
3,1,0,0,4,2,1,4,7,2,4,1,2,0,2,47,12,3,1393,0,1
3,0,2,2,1,1,2,4,4,2,3,1,1,0,2,28,24,1,1376,0,1
3,0,0,2,3,2,2,4,4,2,1,1,1,0,2,34,12,1,1493,0,1
0,1,0,0,2,2,1,3,4,3,3,1,2,0,2,26,42,2,4370,0,2
0,0,0,2,1,1,0,4,7,2,0,1,1,0,0,27,18,1,750,0,2
1,0,0,2,4,1,2,4,6,2,4,1,2,0,1,38,15,2,1308,0,1
3,1,1,2,2,1,1,3,7,2,2,1,2,0,3,40,15,1,4623,0,2
3,1,0,2,2,1,2,4,4,4,3,1,3,2,2,33,24,2,1851,0,1
0,1,0,2,1,1,1,4,4,4,3,1,3,0,3,32,18,2,1880,0,1
3,1,4,2,4,1,2,4,9,3,1,0,2,0,2,27,36,2,7980,0,2
0,0,0,2,2,1,0,2,3,0,2,1,0,2,2,32,30,2,4583,0,1
3,0,2,2,2,1,1,2,0,2,2,1,1,0,2,26,12,1,1386,0,2
2,0,0,0,3,2,3,4,0,2,3,2,2,0,2,38,24,1,947,0,2
0,0,0,2,4,2,2,4,7,2,2,0,2,0,1,40,12,1,684,0,2
0,1,0,2,1,1,3,4,7,2,3,2,2,0,3,50,48,1,7476,0,1
1,0,0,2,2,1,1,4,3,2,2,1,2,0,1,37,12,1,1922,0,2
0,0,0,2,1,1,0,4,0,2,4,1,2,1,2,45,24,1,2303,0,2
1,1,1,2,4,1,2,2,0,3,4,1,2,0,3,42,36,4,8086,0,2
3,1,0,2,3,1,2,4,1,4,3,1,2,0,2,35,24,2,2346,0,1
0,0,0,2,4,1,3,1,0,2,0,2,2,0,2,22,14,1,3973,0,1
1,0,0,0,4,2,2,4,0,2,4,1,2,0,1,41,12,1,888,0,2
3,1,4,1,3,1,2,4,4,2,3,1,2,0,2,37,48,1,10222,0,1
1,0,0,2,1,1,2,2,9,0,2,1,1,0,2,28,30,2,4221,0,1
1,1,0,2,1,1,3,2,3,4,4,1,2,0,2,41,18,1,6361,0,1
2,0,0,2,4,1,0,3,4,2,2,0,3,0,2,23,12,1,1297,0,1
0,0,4,2,2,1,2,4,0,2,2,1,3,0,2,23,12,1,900,0,2
3,0,0,2,2,1,0,4,3,2,4,1,2,0,2,50,21,2,2241,0,1
1,1,0,1,1,1,1,4,3,3,0,1,2,0,3,35,6,2,1050,0,1
2,0,0,2,4,1,1,2,7,4,2,1,1,0,1,50,6,1,1047,0,1
3,1,0,0,2,1,3,4,2,4,0,1,2,1,3,27,24,2,6314,0,1
1,1,3,1,2,2,2,4,3,1,2,1,2,0,2,34,30,1,3496,0,1
3,0,0,1,1,1,0,1,9,1,2,1,1,0,2,27,48,1,3609,0,1
0,1,0,2,4,1,1,3,0,4,4,0,2,1,2,43,12,2,4843,0,2
2,0,0,2,4,1,1,4,4,4,4,1,2,0,2,47,30,1,3017,0,1
3,1,1,2,3,1,1,3,9,4,2,1,2,0,1,27,24,2,4139,0,1
3,1,1,2,2,1,2,2,9,2,3,1,2,0,2,31,36,2,5742,0,1
3,0,2,2,2,1,2,1,0,4,2,1,3,0,2,24,6,1,2080,0,1
3,0,2,0,2,2,0,4,9,3,1,1,2,0,1,41,21,1,2580,0,2
3,1,0,2,4,1,2,4,4,4,3,0,1,0,3,26,30,1,4530,0,1
3,1,0,2,4,1,2,4,3,4,4,1,2,0,2,33,24,1,5150,0,1
0,0,0,0,4,1,0,4,4,2,4,0,2,0,1,64,24,1,2384,0,1
